child,parent
P01891,R-HSA-1236977
P01891,R-HSA-198933
P01891,R-HSA-877300
P01891,R-HSA-909733
P01891,R-HSA-9705671
P01891,R-HSA-983170
P01891,R-HSA-983170
P02042,R-HSA-983231
P02144,R-HSA-8981607
P02452,R-HSA-114604
P02452,R-HSA-1442490
P02452,R-HSA-1442490
P02452,R-HSA-1474244
P02452,R-HSA-1650814
P02452,R-HSA-198933
P02452,R-HSA-2022090
P02452,R-HSA-202733
P02452,R-HSA-216083
P02452,R-HSA-216083
P02452,R-HSA-2214320
P02452,R-HSA-2243919
P02452,R-HSA-3000170
P02452,R-HSA-3000171
P02452,R-HSA-3000178
P02452,R-HSA-3000178
P02452,R-HSA-3000480
P02452,R-HSA-430116
P02452,R-HSA-75892
P02452,R-HSA-75892
P02452,R-HSA-76009
P02452,R-HSA-8874081
P02452,R-HSA-8940973
P02452,R-HSA-8948216
P02458,R-HSA-1442490
P02458,R-HSA-1442490
P02458,R-HSA-1474244
P02458,R-HSA-1650814
P02458,R-HSA-186797
P02458,R-HSA-198933
P02458,R-HSA-2022090
P02458,R-HSA-216083
P02458,R-HSA-216083
P02458,R-HSA-3000171
P02458,R-HSA-3000178
P02458,R-HSA-3000178
P02458,R-HSA-419037
P02458,R-HSA-8874081
P02458,R-HSA-8948216
P02461,R-HSA-1442490
P02461,R-HSA-1442490
P02461,R-HSA-1474244
P02461,R-HSA-1650814
P02461,R-HSA-186797
P02461,R-HSA-198933
P02461,R-HSA-2022090
P02461,R-HSA-216083
P02461,R-HSA-3000170
P02461,R-HSA-3000171
P02461,R-HSA-3000178
P02461,R-HSA-3000178
P02461,R-HSA-3000480
